State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.64129	0.64310	0.64645	0.64623	0.64892	0.65134	0.65642	0.66330	0.66987	0.67807	0.68786	0.69598	0.70788	0.71617	0.72499	0.73461	0.74352	0.75397	0.75891	0.76672	0.77249
2	1.96805	1.95594	1.95044	1.98896	1.97356	1.96585	1.96255	1.94384	1.92953	1.88550	1.86018	1.83046	1.80515	1.80405	1.77213	1.75672	1.74681	1.73580	1.74791	1.72810	1.72370
3	3.78980	3.69189	3.63430	3.44999	3.46727	3.50759	3.32904	3.19657	3.06410	3.04682	2.87403	2.84523	2.65517	2.70700	2.73580	2.85099	2.94315	2.93739	2.81644	2.97770	3.02378
4	4.45366	4.41080	4.26935	4.16218	4.03787	3.88785	3.66495	3.53207	3.34346	3.19772	3.08199	2.96197	3.00912	2.90195	2.93625	2.88910	2.92339	3.03055	2.98340	3.00054	2.99626
5	1.41342	1.39544	1.36667	1.37027	1.31272	1.39544	1.49255	1.53211	1.66158	1.74071	1.79106	1.97088	1.86299	1.88097	1.85579	1.81264	1.79825	1.81623	1.83781	1.75150	1.78746
6	1.25930	1.24942	1.23132	1.27905	1.31362	1.33996	1.33831	1.32844	1.40581	1.49470	1.49141	1.48811	1.49470	1.47824	1.54079	1.54573	1.53091	1.44367	1.51939	1.49305	1.49305
7	1.57595	1.59679	1.60513	1.62598	1.75105	1.78857	1.93866	1.94700	1.90948	1.75939	1.66350	1.60513	1.43419	1.42169	1.35081	1.39250	1.39250	1.41752	1.44253	1.42169	1.43836
8	1.02532	0.98936	0.93853	0.92737	0.91745	0.90258	0.89390	0.86290	0.85546	0.90258	0.95961	0.93729	0.96829	0.96829	0.97448	0.96829	0.95713	0.94101	0.93853	0.94969	0.94101
9	1.36232	1.36232	1.37174	1.34454	1.30687	1.27443	1.24409	1.24199	1.22211	1.12167	1.02227	1.03168	0.99715	0.98041	0.94693	0.91972	0.92496	0.92077	0.92705	0.91554	0.92600
10	4.01339	4.03199	4.04419	4.05987	4.05290	4.03838	4.00642	3.96866	3.90010	3.84723	3.79959	3.71303	3.62588	3.54048	3.44113	3.33481	3.21862	3.10707	3.01818	2.93452	2.84679
