State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.75318	0.73637	0.71531	0.68542	0.64296	0.58714	0.51568	0.44457	0.37922	0.34925	0.33851	0.33703	0.34544	0.36128	0.38047	0.40246	0.42600	0.44772	0.46574	0.48252	0.49443
2	2.98906	3.12409	3.24941	3.35918	3.42329	3.41940	3.30769	3.10272	2.90261	2.84335	2.85695	2.83461	2.88998	2.98129	3.12118	3.29409	3.39706	3.41066	3.39998	3.33198	3.25718
3	4.37656	4.96112	5.98791	7.97032	11.04560	15.41200	21.44565	27.53522	32.86741	37.59471	38.08777	30.31569	26.46269	22.86893	19.58015	16.00164	12.62645	9.66808	7.26885	5.58126	4.57480
4	6.44251	7.75145	9.67323	12.20030	15.21538	18.91898	22.85334	27.41190	32.47360	33.99817	35.90104	43.11529	45.39268	45.90717	44.76091	41.09515	34.76991	27.83560	21.76004	17.00476	13.64920
5	2.40913	2.49801	2.67893	2.99316	3.38040	3.84382	4.53894	4.90079	4.54847	3.24709	2.05046	1.91080	1.73305	1.66957	1.61878	1.49817	1.44421	1.39342	1.31090	1.28868	1.30455
6	1.84942	1.98889	2.09494	2.14143	2.25475	2.22133	2.04990	1.76225	1.44844	1.34094	1.29299	1.05038	0.94723	0.91817	0.96611	1.11575	1.16079	1.23343	1.27556	1.25522	1.22907
7	4.38228	4.59569	4.44483	3.93338	3.13125	2.34752	1.83607	1.55275	1.30254	1.17376	1.25103	1.11489	1.19952	1.32462	1.91702	4.05112	7.50617	10.46816	12.24904	12.48084	11.93996
8	1.27801	1.20798	1.12263	1.01759	0.85894	0.70575	0.60618	0.52740	0.49676	0.55803	0.58977	0.48254	0.44096	0.47706	0.55147	0.72545	1.09090	1.47277	1.78790	2.09208	2.32296
9	1.40363	1.20786	0.99454	0.79877	0.67596	0.59285	0.54760	0.52636	0.50881	0.50789	0.53744	0.55129	0.56053	0.57161	0.59377	0.65010	0.85695	1.32513	1.94568	2.66227	3.25050
10	0.77014	0.73219	0.69220	0.64759	0.60606	0.56504	0.51479	0.45890	0.42814	0.40865	0.40353	0.41071	0.41840	0.43429	0.45634	0.48967	0.54812	0.62401	0.71579	0.78347	0.86961
