State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	79.28477	0.16165	0.57033	0.79073	0.68793	0.33852	0.52974	1.16454
2	3.17673	5.49899	1.94372	1.02316	1.86038	2.85704	3.33508	0.79753
3	0.60710	50.48978	6.01404	1.13912	2.87433	38.08894	16.81314	0.51396
4	0.81573	38.25279	6.79664	1.89738	3.08231	35.89836	22.79882	0.18469
5	0.97223	0.66138	1.34810	1.13937	1.79124	2.05052	2.52002	0.42014
6	2.12413	0.30768	1.17832	1.06394	1.49156	1.29303	1.56608	0.59216
7	0.83869	0.46405	1.57779	2.21158	1.66367	1.25107	3.92824	0.13651
8	2.82031	0.61801	0.93710	2.19136	0.95971	0.58978	0.93784	0.26934
9	3.34180	0.44649	1.63039	2.25812	1.02133	0.53746	0.96601	0.13720
10	6.01852	0.48815	4.35050	2.13813	3.79883	0.40354	0.60742	0.27824
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
