State (Emission order)	H3k27me3	H3k4me3	H3k9ac	H3K27ac	H3k4me2	H3k4me1	H3K9me1	H4k20me1	H3k79me2	H3k36me3
1	0.004733047535059748	6.485327718155166E-5	2.567142689768217E-4	2.0368280781905514E-5	1.6648701137044996E-4	6.349582765945931E-4	0.0011576698841043549	0.0010294078158064135	1.3752949631138793E-4	5.270661468230585E-4
2	0.33425183009792364	0.001385502122117122	4.7208752845036777E-4	9.703565257402783E-6	0.003565917989118283	0.0037099569799094387	0.001987090101823307	0.0029154894264132227	2.1331810815619447E-4	1.1392899665146348E-4
3	0.2422019452924801	0.6304175915918424	0.23199875379535428	0.02523089536882214	0.7322588993610025	0.251468777485645	0.014970625448390297	0.01185414948291118	0.020210569694235507	0.009193198396573914
4	0.0032651150379259765	0.9880447269636584	0.9682755647796365	0.8831530727372408	0.8283414993744583	0.29655703290088686	0.012853185807614312	0.04038663702790041	0.6432147997380598	0.056416719953525395
5	3.303780179856854E-4	0.273492898795829	0.40396001561798134	0.9112174989144187	0.840154435114427	0.9359876180194981	0.022566640171351997	0.003616035187518298	0.01672440480816753	0.03130001331855053
6	0.0017604399576259516	0.005650427625358117	0.007977723491441529	0.10697197741658494	0.24138754671312654	0.7380425520446229	0.014163494375964283	0.0029662826841114877	0.005439490193735359	0.018570964824483924
7	8.558476140462381E-4	0.16850101148063515	0.11210975568904337	0.35798284697334243	0.5514010605407339	0.811171978997824	0.07767646422962791	0.10813651098835639	0.9140581548039965	0.20844639980817653
8	7.415244476558588E-4	9.636230848997606E-5	5.879133580594983E-4	0.0011970113152238134	7.151357584701525E-4	0.007003531545048914	0.00527779119509342	0.006704959475351219	0.2698341517454035	0.03420699715768089
9	5.270160886618218E-4	2.91336185562117E-4	0.0018937466602296311	0.006486067005550207	0.002744036466486049	0.03139826881882701	0.02676291859637316	0.07334889309256679	0.919019519309763	0.1959746016720257
10	2.506725258144935E-4	7.35920027143865E-4	9.960808283306045E-4	0.0014020381924132802	5.781540563125432E-5	0.003345599142029403	0.008116637545916421	0.009450683918292417	0.021258390595305158	0.18664020008331117
